Population,Persons with Disabilities,288,542,553,173,116,196,284,216,584,258,158,128,256,229,199,284,864,586,389,585,520,437,761,259,413,1418,668,381,162,211,409,492,913,564,359,588,449,484,593,645,617,177,65,1282,310,492,498,522,483,746,211,86,406,414,0,240,74,11,68,0,351
Population,Seniors with Disabilties,162,454,445,161,101,87,183,161,546,111,103,56,81,115,26,89,338,257,200,323,139,165,176,53,184,798,198,277,80,162,321,398,824,312,263,358,63,128,119,76,185,59,37,1154,54,117,124,189,330,287,186,10,241,299,0,123,0,0,0,0,59
Housing Units,Total,2037,2051,2947,1629,1403,1731,1684,2255,1628,1350,829,1626,1955,1426,1494,2514,1655,1184,1948,1655,2187,1326,1967,2415,1082,2369,2096,589,2687,1889,2036,1252,2459,2367,2131,1323,2286,2186,2283,1900,2634,2308,920,2664,1164,2257,1696,1885,2327,3149,962,2731,1097,1088,1726,1723,1695,1243,2741,648,1412
Housing Units,For Rent,107,147,185,26,68,55,84,159,55,106,23,75,51,37,114,147,49,11,121,215,182,57,116,56,50,42,110,88,0,192,116,126,53,43,62,0,192,0,146,142,118,211,42,48,159,129,164,131,126,205,0,24,24,25,224,0,161,65,0,0,0
Housing Units,Vacant Units,265,211,399,130,169,55,246,447,148,357,85,310,307,115,251,277,99,65,272,371,253,88,401,164,50,84,456,88,414,308,405,126,147,188,274,219,463,84,251,142,231,480,159,193,196,283,310,260,216,293,239,245,139,66,592,452,289,448,28,44,489
Households,Total,1772,1840,2548,1499,1234,1676,1438,1808,1480,993,744,1316,1648,1311,1243,2237,1556,1119,1676,1284,1934,1238,1566,2251,1032,2285,1640,501,2273,1581,1631,1126,2312,2179,1857,1104,1823,2102,2032,1758,2403,1828,761,2471,968,1974,1386,1625,2111,2856,723,2486,958,1022,1134,1271,1406,795,2713,604,923
Households,"Non-Hispanicor Latino, white",1116,62,1244,723,684,969,659,1160,329,442,93,810,1050,627,523,1224,635,480,1015,445,985,326,661,665,414,439,561,173,1479,1084,900,756,926,740,716,272,1221,1245,943,568,947,485,369,486,404,766,571,692,1194,1409,284,928,59,18,699,1098,633,235,1130,268,690
Households,Asian,424,1729,710,640,469,459,519,459,1071,374,596,305,393,274,362,559,518,282,344,410,537,537,182,550,365,991,477,251,455,231,526,261,992,773,485,216,428,351,478,598,749,435,156,1608,346,747,514,262,224,927,249,968,874,975,435,127,602,486,1391,283,154
Households,Hispanic or Latino,89,44,160,93,47,105,90,79,28,115,20,168,97,230,244,273,122,100,253,283,214,117,452,288,113,282,451,24,205,169,105,88,148,296,148,60,55,175,351,105,287,281,171,201,172,322,179,485,298,307,38,456,12,4,0,46,61,0,192,53,79
Households,Two or More Races,60,0,293,0,30,74,43,36,52,56,29,12,82,212,187,88,43,135,77,54,44,27,37,385,87,9,163,24,67,101,50,0,163,96,415,38,27,149,66,60,182,155,39,78,46,142,123,131,288,110,0,117,13,0,0,0,54,74,0,53,0
Households,Other,20,29,39,16,14,51,0,15,0,66,5,41,34,117,30,81,44,16,38,177,140,194,241,34,27,210,215,0,0,12,15,48,54,66,54,60,29,145,89,64,159,150,45,0,121,141,74,289,27,92,152,167,0,18,0,46,0,0,0,0,79
Households,Black or African American,83,0,169,43,4,57,127,59,0,8,6,12,26,0,86,137,264,126,19,127,126,106,234,364,53,408,88,53,67,4,44,21,18,297,139,518,99,157,197,427,276,444,34,138,0,48,66,145,71,185,38,19,0,0,0,0,0,0,0,0,0
Households,American Indian or Alaskan Native,0,5,0,0,0,0,2,0,0,0,0,0,0,22,0,0,17,0,0,0,0,48,0,40,0,156,23,0,17,0,0,0,8,25,0,0,0,0,37,0,0,0,15,0,0,0,0,10,155,24,0,0,0,0,0,0,0,0,0,0,0
Households,Native Hawaiian or Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,30,7,0,0,19,0,0,0,0,0,0,0,0,23,0,0,0,0,18,0,0,0,85,0,0,0,0,8,0,38,0,0,38,0,7,0,0,56,0,0,0,0
Households,Tenure owners,416,42,638,340,351,130,62,483,148,76,7,353,120,48,156,182,223,0,102,35,0,0,0,0,124,0,0,57,459,418,502,151,251,572,370,93,388,449,341,32,240,110,162,614,172,677,465,340,332,714,211,986,73,76,741,271,465,222,1564,47,383
Households,Tenure renters ,1356,1798,1910,1159,883,1546,1376,1325,1332,917,737,963,1528,1263,1087,2055,1333,1119,1574,1249,1934,1238,1566,2251,908,2285,1640,444,1814,1163,1129,975,2061,1607,1487,1011,1435,1653,1691,1726,2163,1718,599,1857,796,1297,921,1285,1779,2142,512,1500,885,946,393,1000,941,573,1149,557,540
Households,# in Poverty,99,189,38,71,0,12,22,33,70,91,44,0,0,17,30,12,0,177,0,33,19,34,40,0,22,40,39,0,0,40,8,0,0,132,42,93,0,12,11,64,98,24,7,36,93,26,40,0,245,122,0,15,165,207,0,0,0,0,0,51,0
Households,Median Income (renter households),138558,22367,128750,98417,118639,115096,95294,130929,23750,69625,37034,98918,81316,56328,84089,72614,22104,-666666666,56416,22390,51845,21509,24685,113975,18780,17052,35000,-666666666,183846,201435,116328,57695,76908,69893,93125,21468,139849,116503,81485,55143,-666666666,89474,144313,17643,40000,-666666666,134821,81607,107163,141263,-666666666,163036,19792,20903,211775,101707,237338,228159,240093,91727,-666666666
Households,Renter households less than 5000,6,50,36,83,0,35,27,33,57,0,28,19,47,114,113,30,101,138,27,82,174,230,32,79,83,31,86,59,12,25,14,74,17,47,73,112,29,33,50,97,60,99,2,66,0,44,15,17,10,96,0,10,69,49,0,0,61,0,0,0,0
Households,Renter households 5000-9999,20,99,0,0,13,52,65,9,92,14,40,44,11,18,23,131,97,98,94,105,62,0,68,38,42,219,0,62,14,34,8,67,115,46,135,67,20,43,8,164,295,37,0,120,57,29,0,33,31,140,16,14,198,94,0,0,0,0,0,0,0
Households,Renter households 10000-14999,41,353,149,167,42,0,142,54,347,153,91,20,73,43,35,117,258,276,96,305,142,310,474,165,215,785,339,107,9,14,73,96,210,198,115,231,95,23,159,143,486,133,23,638,81,116,26,56,86,36,152,166,106,234,0,0,13,0,0,0,0
Households,Renter households 15000-19999,59,290,49,56,0,0,65,54,114,56,51,7,26,65,17,30,160,19,166,78,89,44,112,17,155,140,21,0,83,0,31,54,218,147,121,45,25,0,98,61,59,24,15,261,0,45,50,36,225,62,0,0,74,83,0,117,0,0,0,0,0
Households,Renter households 20000-24999,0,162,40,60,14,60,60,9,56,30,45,18,35,16,18,38,60,16,141,64,36,105,111,68,0,134,116,98,36,23,31,57,180,111,24,166,10,97,4,99,22,0,0,9,0,30,18,44,115,42,0,0,72,97,0,0,0,0,0,0,0
Households,Renter households 25000-34999,91,271,48,37,64,125,13,76,52,50,59,32,97,90,53,57,103,17,41,147,228,23,153,78,51,171,258,48,83,44,65,25,159,49,42,72,20,119,141,127,52,147,19,169,52,256,54,66,108,64,0,22,118,96,44,91,0,0,0,51,0
Households,Renter households 35000-49999,72,288,145,56,114,12,65,24,83,65,111,95,193,148,117,226,141,119,121,162,205,145,181,158,60,359,176,14,78,67,75,19,18,22,124,45,95,86,96,126,0,222,47,49,278,105,61,107,174,70,34,255,111,132,0,107,0,87,0,53,61
Households,Renter households 50000-74999,202,76,183,55,114,258,147,144,143,129,84,144,245,293,121,430,105,125,190,87,338,218,237,289,135,125,285,0,136,70,31,138,99,200,38,47,59,137,119,257,152,158,32,91,45,26,92,261,70,214,38,36,25,66,0,30,0,0,0,84,0
Households,Renter households 75000-99999,202,76,183,55,114,258,147,144,143,129,84,144,245,293,121,430,105,125,190,87,338,218,237,289,135,125,285,0,136,70,31,138,99,200,38,47,59,137,119,257,152,158,32,91,45,26,92,261,70,214,38,36,25,66,0,30,0,0,0,84,0
Households,Renter households 100000-149000,181,91,226,194,162,358,367,266,141,181,84,194,207,182,241,235,64,96,240,103,321,76,98,326,83,160,183,0,186,71,200,137,192,161,429,41,250,404,179,398,259,337,128,28,25,94,96,106,209,416,28,146,18,70,0,269,104,0,75,46,61
Households,Renter households greater than 150000,591,45,840,376,342,575,246,555,146,145,52,265,373,161,259,544,165,112,286,54,122,61,27,893,55,38,72,29,1027,753,450,237,698,531,307,26,689,607,544,159,778,518,289,404,179,484,446,386,710,1002,244,817,12,16,349,386,763,427,1013,192,250
Households,Cost burdened 30%+,380,481,272,161,113,300,191,198,328,150,156,198,370,294,186,529,317,237,319,372,563,299,414,502,275,708,302,154,263,118,185,166,351,311,200,390,244,51,326,388,281,277,96,570,316,228,247,297,358,287,190,450,267,221,44,240,147,59,75,334,110
Households,Severely cost burdened 50%+,220,447,219,159,214,151,281,180,339,201,214,139,275,296,136,440,510,239,333,395,522,188,367,472,226,322,455,59,309,203,194,163,517,368,399,136,112,265,244,267,741,426,85,151,142,395,95,58,316,415,50,42,223,257,0,344,30,0,61,31,82
Households,1-Person,911,671,1072,565,523,931,841,825,874,555,342,774,900,866,644,1545,1128,583,1027,906,1396,834,1192,1570,771,1652,843,379,1214,752,899,670,1473,752,1174,524,806,749,1084,1044,1405,1265,247,1340,313,879,676,553,924,650,340,1033,398,325,507,1031,261,263,956,196,152
Households,Households with Children,450,618,328,104,210,143,181,350,442,266,224,127,210,95,184,157,141,109,236,176,139,437,366,224,106,732,1027,36,413,365,80,95,194,526,173,753,193,557,271,695,778,181,242,262,445,493,386,372,778,1175,82,1211,443,538,101,99,52,216,231,209,83
Households,Senior households,694,886,759,370,264,354,321,458,747,207,288,266,362,265,95,230,439,290,330,410,233,317,227,198,320,1098,310,321,266,348,539,488,1232,701,570,511,159,307,377,215,325,109,69,1326,76,192,128,196,415,332,200,278,370,571,128,161,44,0,198,47,103
